inventory_id,store_id,product_id,quantity_on_hand,quantity_reserved,quantity_on_order,reorder_point,reorder_quantity,last_restock_date,last_updated
INV-00001,STR-001,PRD-1001,150,10,0,30,100,2023-12-15,2024-01-01 06:00:00
INV-00002,STR-001,PRD-1033,80,5,50,20,60,2023-12-20,2024-01-01 06:00:00
INV-00003,STR-001,PRD-1045,45,2,0,15,40,2023-12-18,2024-01-01 06:00:00
INV-00004,STR-001,PRD-2010,200,15,0,50,150,2023-12-22,2024-01-01 06:00:00
INV-00005,STR-001,PRD-5001,12,1,0,5,10,2023-11-30,2024-01-01 06:00:00
INV-00006,STR-002,PRD-1001,120,8,0,30,100,2023-12-14,2024-01-01 06:00:00
INV-00007,STR-002,PRD-2033,300,20,0,75,200,2023-12-21,2024-01-01 06:00:00
INV-00008,STR-002,PRD-3001,30,2,20,10,25,2023-12-10,2024-01-01 06:00:00
INV-00009,STR-002,PRD-4001,60,5,0,20,50,2023-12-19,2024-01-01 06:00:00
INV-00010,STR-003,PRD-1001,90,6,0,30,100,2023-12-16,2024-01-01 06:00:00
INV-00011,STR-003,PRD-2078,180,10,0,50,120,2023-12-23,2024-01-01 06:00:00
INV-00012,STR-003,PRD-3020,40,3,30,15,35,2023-12-11,2024-01-01 06:00:00
INV-00013,STR-004,PRD-1078,70,4,0,20,60,2023-12-17,2024-01-01 06:00:00
INV-00014,STR-004,PRD-4002,110,8,0,30,80,2023-12-20,2024-01-01 06:00:00
INV-00015,STR-005,PRD-1055,200,12,0,50,150,2023-12-22,2024-01-01 06:00:00
INV-00016,STR-005,PRD-3044,55,3,0,15,40,2023-12-18,2024-01-01 06:00:00
INV-00017,STR-005,PRD-4033,25,2,15,10,20,2023-12-12,2024-01-01 06:00:00
INV-00018,STR-006,PRD-5002,35,4,0,10,25,2023-12-19,2024-01-01 06:00:00
INV-00019,STR-006,PRD-6001,48,3,0,15,35,2023-12-21,2024-01-01 06:00:00
INV-00020,STR-006,PRD-6002,18,2,10,8,15,2023-12-13,2024-01-01 06:00:00
