transaction_id,order_id,transaction_date,store_id,customer_id,product_id,quantity,unit_price,discount_pct,payment_method,channel
TXN-00001,ORD-10001,2024-01-01 08:15:32,STR-001,CUST-0001,PRD-1001,2,29.99,0.00,credit_card,in_store
TXN-00002,ORD-10001,2024-01-01 08:15:32,STR-001,CUST-0001,PRD-1045,1,59.99,10.00,credit_card,in_store
TXN-00003,ORD-10002,2024-01-01 09:02:11,STR-003,CUST-0025,PRD-2010,3,14.99,0.00,cash,in_store
TXN-00004,ORD-10003,2024-01-01 10:30:45,STR-002,CUST-0102,PRD-3005,1,149.99,5.00,debit_card,in_store
TXN-00005,ORD-10004,2024-01-01 11:05:18,STR-005,CUST-0233,PRD-1001,4,29.99,0.00,cash,in_store
TXN-00006,ORD-10005,2024-01-01 12:44:59,,,PRD-2033,1,19.99,0.00,credit_card,online
TXN-00007,ORD-10006,2024-01-01 13:22:07,STR-004,CUST-0410,PRD-4001,2,89.99,15.00,credit_card,in_store
TXN-00008,ORD-10007,2024-01-01 14:01:33,STR-001,CUST-0512,PRD-1078,1,34.99,0.00,debit_card,in_store
TXN-00009,ORD-10008,2024-01-01 15:55:22,,CUST-0613,PRD-3020,2,74.99,0.00,credit_card,online
TXN-00010,ORD-10009,2024-01-01 17:30:09,STR-002,CUST-0714,PRD-2055,5,9.99,0.00,cash,in_store
TXN-00011,ORD-10010,2024-01-01 18:45:50,STR-006,CUST-0815,PRD-5001,1,299.99,20.00,credit_card,in_store
TXN-00012,ORD-10011,2024-01-01 19:10:27,,CUST-0916,PRD-1033,3,24.99,0.00,credit_card,online
TXN-00013,ORD-10012,2024-01-01 20:05:14,STR-003,CUST-1017,PRD-2078,2,44.99,0.00,debit_card,in_store
TXN-00014,ORD-10013,2024-01-01 21:30:01,,CUST-1118,PRD-6002,1,199.99,10.00,credit_card,online
TXN-00015,ORD-10014,2024-01-01 22:15:43,STR-005,CUST-1219,PRD-3044,1,54.99,0.00,cash,in_store
